title,Cluster,genres,production_companies,popularity
Much Ado About Nothing,2,Comedy,Bellwether Pictures,9.469
Bugsy Malone,1,"Drama, Action, Comedy, Music, Family","Goodtimes Enterprises, Bugsy Malone Productions, Robert Stigwood Organization, National Film Trustee Company, The Rank Organisation, Paramount",12.945
The Princess of Montpensier,1,"Action, Drama, History, Romance",Paradis Films,11.452
Death Note: L Change the World,0,"Fantasy, Action, Thriller, Science Fiction, Mystery","Yomiuri Telecasting Corporation, Horipro, Shueisha, Shochiku, Nippon Television Network Corporation, VAP, Nikkatsu Corporation, Warner Bros. Japan",14.36
For Sama,2,"Documentary, War","ITN Productions, Channel 4 Television",5.982
Paddleton,1,"Comedy, Drama",Duplass Brothers Productions,7.425
Ballet Shoes,1,"TV Movie, Drama, Family","Granada Television, BBC",9.504
Ronal the Barbarian,0,"Animation, Adventure, Fantasy","Det Danske Filminstitut, Nordisk Film Denmark",14.122
Paws of Fury: The Legend of Hank,0,"Animation, Action, Adventure, Comedy, Family, Western","Flying Tigers Entertainment, Aniventure, HB Wink Animation, Cinesite Animation, Align, GFM Animation, Nickelodeon Movies, Brooksfilms Ltd., Mass Animation, Blazing Productions, Paramount, Sky Cinema",25.529
The Duke,1,"Comedy, Drama, History","Ingenious Media, Screen Yorkshire, Pathe",9.856
Downhill,1,"Drama, Comedy","Searchlight Pictures, Likely Story, Filmhaus Films, TSG Entertainment",12.572
We Are the Night,1,"Fantasy, Drama, Horror, Romance","Celluloid Dreams, Constantin Film",10.012
North Face,0,"Adventure, Drama, Action, History, Thriller","Dor Film-West Produktionsgesellschaft, Majestic Filmproduktion, Lunaris Film, MedienKontor Movie GmbH, Triluna Film AG, ARD",13.246
Even the Rain,1,"Drama, History","Vaca Films, Morena Films, Alebrije Producciones, Mandarin Cinéma",10.077
Happythankyoumoreplease,1,"Comedy, Drama, Romance","Paper Street Films, Tom Sawyer Entertainment, Back Lot Pictures, Haven Entertainment",7.364
The Dark,2,"Horror, Thriller, Mystery","Constantin Film, Impact Pictures, Isle of Man Film, UK Film Council",8.083
The Final,2,"Thriller, Horror",Agora Entertainment,10.782
Lucky You,1,"Drama, Romance","Lonely Film Productions GmbH & Co. KG., Village Roadshow Pictures, Deuce Three Productions, Di Novi Pictures, Warner Bros. Pictures",12.517
Batman: Return of the Caped Crusaders,0,"Action, Animation, Adventure, Crime, Science Fiction","Warner Premiere, DC Comics, Warner Bros. Animation, DC Entertainment",9.801
Vanquish,0,"Action, Crime, Thriller","March On Productions, Capstone Group",11.571
Cha Cha Real Smooth,1,"Comedy, Drama, Romance","PictureStart, TeaTime Pictures, Endeavor Content",21.32
Mrs. Harris Goes to Paris,1,"Drama, Comedy","Focus Features, Entertainment One, Superbe Films, Hero Squared, Elysian Films, uMedia, Moonriver",16.093
The Little Stranger,2,"Mystery, Horror","Element Pictures, Film4 Productions, Dark Trick Films, Potboiler Productions, Canal+, Ciné+, Ingenious Media, Fís Éireann/Screen Ireland, Pathé, Focus Features",10.468
Pokémon: The Rise of Darkrai,0,"Family, Adventure, Animation, Fantasy, Action, Science Fiction","Pikachu Project, TV Tokyo, The Pokémon Company, Shogakukan, Media Factory, TakaraTomy, East Japan Marketing & Communications, OLM, Shogakukan Production",20.099
Loving Annabelle,1,"Drama, Romance","Big Easy Pictures, Divine Light Pictures",20.269
Beats,1,"Drama, Music","Global Road Entertainment, 51 Minds Entertainment",7.067
Unlocked,2,"Thriller, Mystery","Studio N, Mizi Film, CJ Entertainment",16.87
Siren,2,Horror,"Blue Falcon Productions, Chiller Films, Big Picture Casting, Studio71, The Collective Studios",13.389
Misbehaviour,1,"Drama, History, Comedy",Left Bank Pictures,8.502
You Kill Me,2,"Comedy, Crime, Thriller, Romance","Independent Film Group, Bi-polar Pictures, Carol Baum Productions, Code Entertainment, Dillinger Productions, Echo Lake Entertainment, Green Tulip Productions, Code Entertainment",8.755
Encounters at the End of the World,2,Documentary,"Discovery Films, Creative Differences Productions, Discovery Communications",6.982
The Stranger,1,"Thriller, Crime, Drama","Anonymous Content, See-Saw Films, Screen Australia, South Australian Film Corporation, Blue-Tongue Films, RocketScience",19.005
Locked Down,1,"Comedy, Crime, Drama","AGC Studios, Storyteller Productions, Warner Bros. Pictures",13.383
Umma,2,"Horror, Mystery","Raimi Productions, Stage 6 Films, Starlight Media",22.327
Smokin' Aces 2: Assassins' Ball,0,"Action, Comedy","Universal Studios Home Entertainment, Always Split Aces Productions, Working Title Films, Capital Arts Entertainment",13.084
The Crime of Padre Amaro,1,"Drama, Romance","Instituto Mexicano de Cinematografía, Alameda Films, Cinecolor-México, Cinecolor-Argentina, Artcam y Fonds Sud Cinéma",12.124
EO,1,Drama,"Skopia Film, Alien Films, HAKA Films, Moderator Inwestycje, PISF, MiC, Regione Lazio",15.766
Neruda,1,Drama,"Participant, Funny Balloons, Ad hoc Studios, AZ Films, Casting del Sur, Reborn Production, Setembro Cine, Fabula, Telefe",8.183
The Veil,2,Horror,Blumhouse Productions,7.35
The Battery,1,"Drama, Horror",O. Hannah Films,8.247
Lego Batman: The Movie - DC Super Heroes Unite,0,"Family, Animation, Adventure, Comedy","Warner Premiere Digital, DC Comics, LEGO, TT Animation, DC Entertainment, Warner Bros. Animation",2.56
Await Further Instructions,2,Horror,"Shudder Films, Goldfinch Studios",8.601
The Ottoman Lieutenant,1,"Romance, Drama, War",Eastern Sunrise Films,10.954
Parasyte: Part 1,2,"Science Fiction, Horror","dentsu, GYAO, KDDI, Nippon Television Network Corporation, Robot Communications, Shirogumi, TOHO, Yahoo! Japan, Nippan Group Holdings",16.604
Chappaquiddick,1,"History, Drama, Thriller","Apex Entertainment, DMG Entertainment, Lionsgate, Signature Entertainment, Sierra/Affinity, Chimney Sweden",13.037
The Beauty Inside,2,"Fantasy, Romance","Yong Film, Next Entertainment World",14.747
Ideal Home,1,"Comedy, Drama","Mustard & Co, Remstar Studios, Indieproduction, Lucky Monkey Pictures, Baby Cow Productions",9.422
The Corporation,2,Documentary,Big Picture Media Corporation,7.787
X,0,"Action, Thriller, Romance","Rough Beast, Circe Films",17.168
Rise,1,Drama,"Walt Disney Pictures, Faliro House Productions",14.01
An Interview with God,1,"Drama, Mystery","Astute Films, Giving Films, Big Indie Pictures",24.879
Bomb City,1,"Drama, Crime","Bomb City Films, 3rd Identity Films",7.144
Beverly Hills Chihuahua 3: Viva la Fiesta!,2,"Comedy, Family",Walt Disney Pictures,16.573
Show Dogs,0,"Adventure, Crime, Family, Comedy","Riverstone Pictures, Open Road Films, Neddy Dean Productions",9.832
Red,1,"Drama, Thriller","Billy Goat Pictures, Tenk",14.799
Promare,0,"Animation, Action, Science Fiction","TRIGGER, XFLAG, Sanzigen, TOHO",12.424
Fullmetal Alchemist the Movie: The Sacred Star of Milos,0,"Adventure, Fantasy, Animation, Action, Science Fiction","BONES, Aniplex, SQUARE ENIX, MBS, Shochiku, TBS, dentsu",16.371
Smart People,1,"Comedy, Drama, Romance","GEM Global Entertainment Magyar, Miramax, Sherazade Film Development, Groundswell Productions, QED International, Corduroy Films, Visitor Pictures, Chesterfield Writer's Film Project",6.908
Lake Bodom,2,Horror,"Münchhausen, Don Films",7.884
Banshee Chapter,2,"Horror, Thriller","Sunchaser Entertainment, Before the Door Pictures, Favorit Film",14.186
Strangerland,1,"Drama, Thriller, Mystery",Worldview Entertainment,9.106
Sleepaway Camp II: Unhappy Campers,2,"Comedy, Horror",Double Helix Films,13.311
The Vanishing of Sidney Hall,1,"Drama, Mystery, Romance","Super Crispy Entertainment, Fuzzy Logic Pictures",15.643
Una,1,"Drama, Thriller","Jean Doumanian Productions, WestEnd Films, Bron Studios, Film4 Productions, Creative Wealth Media Finance",9.329
Juan of the Dead,2,"Horror, Comedy","Canal Sur, La Zanfoña Producciones, Producciones de la 5ta Avenida, ICAIC, Inti Herrera Producciones, TVE",7.34
Little Joe,1,"Drama, Science Fiction","The Bureau, Essential Filmproduktion, ORF, BBC Film, BR, ARTE, Coop 99 Filmproduktion",8.128
Athlete A,2,Documentary,"Actual Films, Artemis Rising, Impact Partners, Chicago Media Project",8.558
Drifting Home,1,"Animation, Drama, Fantasy, Adventure","Studio Colorido, Twin Engine",19.042
The Last Waltz,2,"Documentary, Music","FM Productions, Last Waltz Inc., United Artists",9.881
I'm Not Ashamed,1,Drama,"Visible Pictures, All Entertainment",26.572
Meek's Cutoff,1,"Drama, Western","Oscilloscope, filmscience, Evenstar Films",11.381
The United States vs. Billie Holiday,1,"Music, Drama, History","Lee Daniels Entertainment, Roth-Kirschenbaum Films",9.122
Don,1,"Action, Drama, Thriller",Excel Entertainment,9.326
Rosaline,1,"Romance, Drama, Comedy","21 Laps Entertainment, 20th Century Studios",15.582
The Upside of Anger,1,"Comedy, Drama",New Line Cinema,12.259
Bed and Board,1,"Comedy, Drama, Romance","Valoria Films, Fida Cinematografica, Les Films du Carrosse",10.308
English Vinglish,1,"Comedy, Drama, Family","Lola's Productions, Eros International, Curbside Films, Hope Productions",7.442
NiNoKuni,0,"Animation, Action, Adventure, Family, Fantasy, Romance","OLM, Level-5, Warner Bros. Japan, Bandai, Kodansha, dentsu, movic, Netmarble, KDDI, LINE, Hikari TV, Bandai Namco Amusement",12.22
Marlowe,2,"Mystery, Thriller, Crime","Parallel Films, H2L Media Group, Nickel City Pictures, StoryBoard Media, Davis Films, Aperture Media Partners, Elipsis Capital, Jeff Rice Films, The Foley Lab, Briarcliff Entertainment, Fís Éireann/Screen Ireland",19.999
Paradise Now,1,"Thriller, Crime, Drama","Eurimages, Lama Films, Augustus Film, Lama Productions, Lumer Films, Filmstiftung Nordrhein-Westfalen, Razor Film Produktion, Nederlands Fonds voor de Film, ARTE France Cinéma, Medienboard Berlin-Brandenburg, Hazazah Pictures",8.694
Lizzie,1,"Crime, Drama, Thriller","Artina Films, Destro Films, Powder Hound Pictures, The Solution",9.978
Terra Formars,0,"Action, Horror, Science Fiction",LIDENFILMS,14.191
The Last Sharknado: It's About Time,0,"Science Fiction, Action, Adventure, Comedy, TV Movie","The Asylum, Syfy",11.895
The Canyons,1,"Thriller, Drama","Filmworks/FX, Prettybird, Post Empire Films, Sodium Fox",13.1
Love and Leashes,2,"Romance, Comedy",See At Film,14.561
Dark Was the Night,2,"Horror, Thriller","Maiden Woods Films, Caliber Media Company, Foggy Bottom Pictures, Preferred Content, Sundial Pictures, The Molecule, First Take Films",8.933
Tamara,2,"Fantasy, Horror, Thriller","Lions Gate Films, City Lights Pictures",9.869
The Red Baron,0,"Action, Adventure, Drama, History, War","Niama Film, Arclight Films",13.152
London Fields,2,"Crime, Thriller","Muse Productions, Periscope Entertainment, Head Gear Films, Curiously Bright Entertainment, Living the Dream Films, MindSky Entertainment, Vedette Finance, Tartan, 20th Century Fox",18.716
Flower,1,"Comedy, Drama","Diablo Entertainment, Rough House Pictures, Metalwork Pictures",8.087
Kevin Hart: What Now?,2,Comedy,"Universal Pictures, HartBeat Productions",4.857
Heaven,1,"Drama, Thriller, Romance, Crime","Miramax, Mirage Enterprises, X Filme Creative Pool",11.899
Giant Little Ones,1,Drama,"Euclid 431 Pictures, Scythia Films, Storyboard Entertainment, Sugar Shack Productions",10.025
Goblin Slayer -Goblin's Crown-,0,"Animation, Adventure, Action, Fantasy",White Fox,22.506
The Revenant,2,"Comedy, Horror","Putrefactory Limited, Wanko Toys",9.136
Same Kind of Different as Me,1,Drama,"Chazown Pictures, Paramount, Disruption Entertainment",11.169
Country Strong,1,"Drama, Romance, Music","Maguire Entertainment, Screen Gems, Sony Pictures Home Entertainment, Material Pictures, TVM Studios",11.793
Stop-Loss,1,"Drama, War","MTV Films, Peirce Pictures, Paramount, Scott Rudin Productions",12.751
Drunk Parents,2,Comedy,"Fortitude International, Bron Studios, Creative Wealth Media Finance",10.463
Shinjuku Incident,1,"Drama, Action, Thriller, Crime",JCE Movies,15.45
Married to the Mob,2,"Comedy, Crime, Romance","Orion Pictures, Mysterious Arts",17.942
Cold Prey II,2,"Horror, Mystery, Thriller",Fantefilm,6.374
Death of Me,2,"Horror, Mystery","Lionsgate, Saban Films, 13 Films, Benetone Films, Dobre Films, Envision Media Arts, Media Finance Capital",10.986
Anvil! The Story of Anvil,2,"Documentary, Music",Zootrope Films,5.832
American Satan,1,"Thriller, Drama, Music","Intrinsic Value Films, Sumerian Films, Jeff Rice Films",11.327
Casshern,1,"Drama, Horror, Science Fiction",Tatsunoko Production,11.185
Blackthorn,0,"Adventure, Action, Western","Audiovisual Aval SGR, Quickfire Films, Arcadia Motion Pictures, Noodles Production, Canal+ España, ICAA, ONO, Ariane Mararía Films, Nix Films, Eter Pictures, Manto Films, Pegaso Producciones, Ibermedia European Community Program, TVE",11.871
Good Sam,1,"Romance, Drama, Comedy","Wind Dancer Films, Muse Entertainment",7.049
Frankenstein's Army,0,"Action, Horror","Dark Sky Films, Pellicola, XYZ Films",11.127
Blue Bayou,1,Drama,"Entertainment One, MACRO, Focus Features",11.766
My Little Pony: Equestria Girls,0,"Animation, Comedy, Family, Fantasy, Music","DHX Media, Hasbro Studios",10.039
You Won't Be Alone,1,"Horror, Drama","Causeway Films, Head Gear Films, Metrol Technology",26.297
Superintelligence,2,"Comedy, Science Fiction, Romance","On the Day, Warner Bros. Pictures, New Line Cinema, Creative Wealth Media Finance",17.952
Kill Switch,0,"Science Fiction, Action, Thriller","CTM Films, FilmNation Entertainment, SquareOne Entertainment",13.799
2036 Origin Unknown,2,"Science Fiction, Thriller, Mystery","Parkgate Entertainment, Origin Unknown Films, Metrol Technology, Head Gear Films, Gravitas Ventures",10.212
Veronika Decides to Die,1,"Drama, Romance","Velvet Steamroller Entertainment, Future Films, Muse Productions, PalmStar Media, Das Films",8.758
Meru,2,"Adventure, Documentary",Little Monster Films,5.363
Overcomer,1,Drama,Kendrick Brothers,28.069
The Third Murder,1,"Drama, Mystery, Crime","Fuji Television Network, AMUSE, Fuji IG Laboratory for Movies (FILM), BUN-BUKU, GAGA Corporation",7.834
Steve Jobs: The Man in the Machine,2,Documentary,"Magnolia Pictures, Jigsaw Productions, CNN Films",10.087
Life Partners,2,"Romance, Comedy","Sandia Media, Haven Entertainment, Minerva Productions, Red Crown Productions",7.816
Human Nature,1,"Drama, Comedy","Senator Film, Fine Line Features, StudioCanal, Good Machine, Beverly Detroit, Partizan",9.643
Gnome Alone,0,"Family, Adventure, Animation, Comedy, Fantasy","Vanguard Animation, 3QU Media, SC Films International, Cinesite Animation",11.45
I'm Your Man,2,"Science Fiction, Comedy, Romance","Letterbox Filmproduktion, SWR",9.966
Flora & Ulysses,0,"Family, Adventure, Comedy, Fantasy","Walt Disney Pictures, Netter Productions",18.808
Kontroll,2,"Thriller, Comedy, Crime","Café Film, Bonfire",8.228
Get a Horse!,2,"Animation, Family, Comedy","Walt Disney Animation Studios, Walt Disney Pictures",8.144
The Wild Pear Tree,1,Drama,"Zeynofilm, Memento Films Production, Detailfilm, Film i Väst, Nulook Production, RFF International, Sisters and Brother Mitevski, TRT, Turkish Radio & Television, Production 2006, Chimney Sweden, NBC Film",6.85
Selena Gomez: My Mind & Me,2,"Documentary, Music","Lighthouse Management + Media, Interscope Films",13.961
Apollo 10½:  A Space Age Childhood,2,"Animation, Comedy, Science Fiction","Detour Filmproduction, Submarine",11.155
A Charlie Brown Thanksgiving,2,"Animation, Comedy, Family, TV Movie","United Feature Syndicate (UFS), Bill Melendez Productions, Lee Mendelson Film Productions",14.515
Animal,2,"Thriller, Horror","Chiller Films, Flower Films, Synthetic Cinema International",6.526
The Secrets We Keep,1,"Thriller, History, Drama","AGC Studios, di Bonaventura Pictures, Echo Lake Entertainment, Fibonacci Films, Kirkhaus Films",12.629
The Banana Splits Movie,2,"Horror, Comedy",Blue Ribbon Content,15.292
The Souvenir,1,"Romance, Drama","BBC Film, Sikelia Productions, Protagonist Pictures, JWH Films",9.256
Xtreme,0,"Action, Adventure, Crime",Showrunner Films,15.096
Pina,2,Documentary,"Road Movies, ZDF, Eurowide Film Production, Recorded Picture Company, ARTE",7.601
Pokémon: Giratina and the Sky Warrior,0,"Family, Adventure, Animation, Fantasy","East Japan Marketing & Communications, Media Factory, OLM, Pikachu Project, TV Tokyo, The Pokémon Company, TakaraTomy, Shogakukan, Shogakukan-Shueisha Productions",21.435
Fed Up,2,Documentary,"Atlas Films, Artemis Rising, Diamond Docs",6.488
The Resistance Banker,1,"War, Drama","Dutch Filmworks, NL Film en TV, Mollywood, EO, Zilvermeer Productions, Nanook Entertainment",18.27
The Truth About Emanuel,1,"Drama, Thriller","Rooks Nest Entertainment, MRB Productions, Pisces Rising Productions",10.951
Separation,1,"Horror, Drama","RainMaker Films, Yale Productions, The Machine Room, Post Film",22.094
Remo Williams: The Adventure Begins,0,"Comedy, Action, Adventure","Orion Pictures, Dick Clark Productions",11.697
The Color of Pomegranates,1,Drama,Armenia Studio,12.673
Mommy Dead and Dearest,2,"Crime, Documentary","HBO Documentary Films, Abstract",7.104
Killing Ground,2,"Mystery, Thriller, Horror","Arcadia, Hypergiant Films, Screen Australia, Screen NSW",6.764
Fireheart,2,"Animation, Family","Entertainment One, Anton Capital Entertainment, Main Journey, Caramel Films, L'Atelier Animation, SND",23.774
Latter Days,1,"Drama, Comedy, Romance",Funny Boy Films,13.851
The Escapist,0,"Action, Thriller",Picture Farm,10.682
Down,1,"Horror, Drama, Thriller",Blumhouse Television,32.884
Anne of Green Gables,1,"Family, Drama",Sullivan Entertainment,18.094
Peacock,1,"Mystery, Thriller, Drama","Lionsgate, Mandate Pictures, Lionsgate Premiere, Mandate International",10.892
Feast of Love,1,"Romance, Drama","Revelations Entertainment, Lakeshore Entertainment, Metro-Goldwyn-Mayer, GreeneStreet Films",10.431
Flirting with Disaster,2,Comedy,Miramax,8.385
The White Crow,1,Drama,"BBC Film, Magnolia Mae Films, HanWay Films, Metalwork Pictures",9.95
Bad Sister,2,"Thriller, TV Movie","Johnson Production Group, Golden Oak Entertainment, Lifetime",22.273
The Great Buck Howard,2,Comedy,"Bristol Bay Productions, Playtone",8.025
Land,1,Drama,"Focus Features, Big Beach, Flashlight Films, Cinetic Media, Nomadic Pictures",9.473
Samson,0,"Action, Drama, Adventure","Pure Flix Entertainment, Boomtown films, Universal Pictures",21.931
11-11-11,2,"Horror, Thriller","Capacity Pictures, Black Flag, Canonigo Films, Epic Pictures Group",8.548
Haunted Mansion,2,"Fantasy, Comedy","Walt Disney Pictures, Rideback",86.751
The Mighty,1,"Drama, Comedy","Chaos Productions, Scholastic Productions, Jane Startz Productions, Miramax",10.092
Possum,1,"Drama, Horror, Thriller","BFI, The Fyzz",8.997
The Adventures of Pinocchio,1,"Family, Fantasy, Adventure, Drama","The Kushner-Locke Company, Pangaea Holdings, Twin Continental Films, Allied Pinocchio Productions, Davis Films, Dieter Geissler Filmproduktion",12.009
Mighty Morphin Power Rangers: Once & Always,0,"Action, Adventure, Science Fiction, Family","Toei Company, Entertainment One",21.917
Night in Paradise,0,"Crime, Thriller, Action","Next Entertainment World, Peppermint&company, Goldmoon Film",15.788
Katyn,1,"Drama, History, War","PISF, Akson Studio, TVP, Orange Polska",13.937
Mauvais Sang,1,"Crime, Drama, Romance","Soprofilms, Unité Trois, Limbo Film AG, Les Films Plain Chant, FR3 Films Production, Georges Reinhart Productions, Sofima, Sogedis, CNC",10.436
The Man from Toronto,0,"Action, Adventure, Comedy","Escape Artists, Sony Pictures, Bron Studios, HartBeat Productions",27.553
The Eight Hundred,1,"War, History, Drama, Action","Beijing Diqi Yinxiang Entertainment, Huayi Brothers Pictures, Beijing Enlight Pictures, Tencent Pictures, South Australian Film Corporation, Huaxia Film Distribution",17.387
First Sunday,0,"Comedy, Action",Cube Vision,10.942
"Happy Halloween, Scooby-Doo!",2,"Family, Animation, Mystery, Comedy",Warner Bros. Animation,18.337
Rendel,0,"Fantasy, Action, Crime","Frozen Flame Pictures, Bad Beaver Productions, Black Lion Pictures, Haaja & Arwo Design",9.422
Phantasm III: Lord of the Dead,0,"Horror, Science Fiction, Action",Starway International Inc.,9.085
Battle in Seattle,1,"Action, Drama","Insight Film Studios, Redwood Palms Pictures, Remstar Productions",9.868
Song One,1,Drama,Worldview Entertainment,7.665
A Mighty Wind,2,"Comedy, Music","Castle Rock Entertainment, Warner Bros. Pictures",12.131
Air Doll,1,"Drama, Fantasy","Eisei Gekijo, Engine Film, TV Man Union, Bandai Visual, Asmik Ace Entertainment",14.04
High Flying Bird,1,Drama,"Extension 765, Harper Road Films",7.22
Particle Fever,2,Documentary,"Anthos Media, Particle Fever",4.569
The Inventor: Out for Blood in Silicon Valley,2,Documentary,"Jigsaw Productions, HBO Documentary Films",8.581
The Invincible Iron Man,0,"Action, Adventure, Animation, Fantasy, Science Fiction","Marvel Animation, Marvel Entertainment",12.441
Dhoom 2,1,"Drama, Action, Thriller, Crime","Yash Raj Films, Dhoom Studios",18.456
Who Can Kill a Child?,1,"Drama, Horror, Thriller",Penta Films,9.606
Nightmare Cinema,2,Horror,"Cinelou Films, Cranked Up Films",7.102
A Late Quartet,1,"Music, Drama","Opening Night Productions, RKO Pictures LLC",8.491
Rob the Mob,1,"Crime, Drama","RTM Film Inc, The Exchange",10.823
Wuthering Heights,1,"Drama, Romance","Ecosse Films, UK Film Council, Film4 Productions, Goldcrest, Screen Yorkshire, HanWay Films",11.745
Cub,2,"Adventure, Horror","Potemkino, Splendid Film, Submarine",5.684
7th Floor,1,"Drama, Thriller","Ikiru Films, El Toro Pictures, Telecinco Cinema, K & S Films, Telefe, Canal+ España",9.667
Blue My Mind,1,"Fantasy, Drama","Zürcher Hochschule der Künste, tellfilm",11.452
Small Town Crime,2,"Thriller, Crime, Mystery","Avva Pictures, 6 Foot Films",8.05
Louis C.K.: Live at the Beacon Theater,2,Comedy,"Pig Newton, Cicrus King Productions",3.626
High Strung Free Dance,1,"Music, Romance, Drama","Castel Film, Riviera Films",9.81
Chick Fight,0,"Action, Comedy",Yale Productions,9.742
The True Cost,1,"Documentary, Drama","Life Is My Movie Entertainment Company, Untold Creative",8.778
"Hello, Goodbye, and Everything in Between",1,"Romance, Drama",ACE Entertainment,16.718
America: The Motion Picture,0,"Animation, Action, Comedy","Floyd County Productions, Lord Miller, Free Association",16.38
Altitude,2,"Horror, Thriller, Fantasy",Darclight Films,11.725
Let Them All Talk,1,"Comedy, Drama","Extension 765, Warner Max",8.174
The Stronghold,0,"Action, Adventure, Comedy, Family, Fantasy, History",Kinorob,7.231
Crater,0,"Science Fiction, Action, Adventure, Family","21 Laps Entertainment, Walt Disney Pictures",84.004
After the Wedding,1,Drama,"Paradox Studios, Ingenious Media, Rock Island Productions, Riverstone Pictures",10.241
A Merry Friggin' Christmas,2,Comedy,Sycamore Pictures,13.089
Neerja,1,"Drama, Thriller","Star Studios, Bling Unplugged",8.76
The Seven Deadly Sins: Grudge of Edinburgh Part 1,0,"Animation, Fantasy, Adventure, Action","Marvy Jack, Alfred Imageworks",33.58
The Disappearance of Eleanor Rigby: Him,1,"Romance, Drama","Dreambridge Films, Unison Films, Myriad Pictures, Kim and Jim Productions, Division Films",7.552
Cherry 2000,0,"Action, Adventure, Comedy, Science Fiction","Orion Pictures, ERP Productions",9.67
Hansel and Gretel Get Baked,2,"Horror, Comedy",Tribeca Productions,13.555
Get a Clue,2,"Family, Comedy, Mystery, TV Movie",Flagstaff Pictures,7.302
Sound City,2,"Documentary, Music","Roswell Films, Therapy Content, Gravitas Ventures",14.428
Life in a Day,1,"Documentary, Drama","Scott Free Productions, LG, YouTube Originals",6.769
Escape Room,2,"Horror, Thriller, Fantasy","Global Genesis Group, Entity3 Productions",13.944
Savage Salvation,2,Thriller,"River Bay Films, Ingenious Media, Lucky 13 Productions, The Avenue Entertainment, Convergence Entertainment, Diamond Film Productions, Highland Film Group, Pimienta, BondIt, SSS Entertainment, Verdi Productions, VVS Films",41.236
A Girl Like Her,1,Drama,"Radish Creative Group, Bottom Line Entertainment, Almost Never Films",4.512
Atari: Game Over,2,Documentary,"Xbox Entertainment Studios, Lightbox Entertainment, Fuel Entertainment USA, GRAiNEY Pictures, Red Box Films",5.951
Nancy Drew and the Hidden Staircase,2,"Crime, Family, Comedy, Mystery","A Very Good Production, Red 56",8.55
Girl in the Picture,2,Documentary,"All3Media America, Top Knot Films, Main Event Media",9.162
Shrink,1,"Comedy, Drama","Ithaka Entertainment, Ignite Entertainment, Mandate International, Roadside Attractions",8.677
Piercing,2,"Horror, Thriller, Mystery","BorderLine Films, Borderline Presents, Memento Films International, Paradise City, YL Pictures",6.946
Beowulf & Grendel,0,"Action, Adventure, Drama, Fantasy","The Film Works, Icelandic Film Corporation, Union Station Media, Movision, Endgame Entertainment, Téléfilm Canada, Spice Factory",12.316
Meet Cute,2,"Comedy, Romance, Science Fiction","Weed Road Pictures, Convergent Media, The Exchange, Anamorphic Media, Orogen Entertainment",11.815
Sadako vs. Kayako,2,Horror,"NBCUniversal Entertainment Japan, KADOKAWA",13.853
Penguin Highway,0,"Animation, Adventure, Comedy, Fantasy","Studio Colorido, KADOKAWA, TOHO, dentsu, Sony Music Entertainment (Japan), Fuji Television Network",8.564
Pieces of April,1,"Comedy, Drama","IFC Productions, Kalkaska Productions, United Artists",11.029
Occupation: Rainfall,0,"Science Fiction, Action","Sparke Films, Saban Films, Film Mode Entertainment, Monster Pictures",10.673
Till,1,"Drama, History","Frederick Zollo Productions, Whoop/One Ho Productions/Lil' Whoop Productions, Eon Productions, Orion Pictures",18.844
Abigail,0,"Adventure, Fantasy, Mystery",Kinodanz,10.39
Flame & Citron,1,"Drama, History, War","YLE, Det Danske Filminstitut, Wüste Filmproduktion, Studio Babelsberg, TV 2, The Match Factory, Sirena Film, Fonds Eurimages du Conseil de l'Europe, Wüste Film Ost, OC Film, Duckling, Mainstream, Kameraudlejningen, 4½, Filmförderung Hamburg Schleswig-Holstein, NFP Marketing & Distribution, Substanz Film, Canal+, SVT, Nimbus Film, Nordisk Film & TV Fond, Sandrew Metronome Danmark, Deutscher Filmförderfonds, TV 2, Medienboard Berlin-Brandenburg",7.659
The Greatest Movie Ever Sold,2,"Comedy, Documentary",Snoot Entertainment,8.113
Tour de Pharmacy,2,"Comedy, TV Movie","VER, HBO Films, Legends of Sport, Cineverse, Media Services",8.471
Anthony Zimmer,1,"Thriller, Crime, Drama, Romance","Alter Films, Fidélité Productions, TF1 Films Production",11.071
Inside,2,"Horror, Thriller","Embankment Films, Grand Piano Productions, Nostromo Pictures, Natixis Coficiné",9.864
TiMER,1,"Fantasy, Drama, Comedy, Science Fiction, Romance",Present Pictures,9.839
Summer '03,2,Comedy,"Big Cat Productions, Summer 03 Film",9.84
I Am Heath Ledger,2,Documentary,"Network Entertainment, FremantleMedia",7.812
Dracula 3D,2,Horror,"Les Films de l'Astre, Enrique Cerezo, Film Export Group",13.21
The Stoning of Soraya M.,1,"Crime, Drama","Mpower Pictures, Roadside Attractions, Prime Meridian Pctures, Fallen Films",13.089
The Disappearance of Eleanor Rigby: Her,1,"Drama, Romance","Myriad Pictures, Unison Films, Division Films, Dreambridge Films",6.741
Slaughterhouse-Five,1,"Drama, Science Fiction, War","Universal Pictures, Vanadas Productions",12.569
Love at First Sight,1,"Romance, Drama",ACE Pictures Entertainment,114.871
Infinity Chamber,2,"Science Fiction, Mystery, Thriller","Milloy Films, Latest Trick Productions, XLrator Media",8.023
Touchez Pas au Grisbi,1,"Crime, Drama, Thriller","Del Duca Films, Antares Produzione Cinematografica",9.95
Under the Same Moon,1,Drama,"The Weinstein Company, Creando Films, FIDECINE, Potomac Pictures",13.731
Ema,1,Drama,Fabula,9.451
Barb & Star Go to Vista Del Mar,2,Comedy,"Gloria Sanchez Productions, Lionsgate",9.685
All the Pretty Horses,1,"Drama, Romance, Western","Miramax, Columbia Pictures",11.214
